agent_id,employee_code,agent_name,vendor_id,team,status,joined_at,updated_at,calls,accounts_called,total_duration_sec,avg_duration_sec,attributed_successful_payments,attributed_recovery,paying_accounts,recovery_per_call
AGT0000325,EMP00585,Pooja Nair,VND0000010,T1,SUSPENDED,2025-02-01 18:50:22,2025-04-28 14:58:54,94,94,40137,426.98936170212767,3.0,186544.53999999998,3.0,1984.5163829787232
AGT0000469,EMP00662,Pooja Nair,VND0000012,DIGITAL,SUSPENDED,2024-12-18 20:27:43,2026-03-06 05:50:46,92,91,41229,448.14130434782606,3.0,259017.37,3.0,2815.4061956521737
AGT0000260,EMP00707,Rahul Verma,VND0000004,T3,SUSPENDED,2025-06-10 16:45:00,2026-05-28 18:12:24,101,101,42999,425.73267326732673,3.0,263057.97,3.0,2604.534356435643
AGT0000180,EMP01013,Vikram Shah,VND0000010,T2,INACTIVE,2025-11-15 09:40:12,2025-12-04 13:50:16,73,73,33839,463.54794520547944,0.0,0.0,0.0,0.0
AGT0000358,EMP00700,Vikram Shah,VND0000012,T3,INACTIVE,2024-02-25 05:52:12,2025-12-06 22:20:45,68,68,34621,509.13235294117646,0.0,0.0,0.0,0.0
AGT0000991,EMP00351,Sneha Das,VND0000010,T1,SUSPENDED,2024-11-30 20:26:22,2026-04-29 22:16:25,90,90,43296,481.06666666666666,1.0,36195.24,1.0,402.1693333333333
AGT0000145,EMP00644,Priya Mehta,VND0000013,FIELD,SUSPENDED,2025-09-25 05:47:21,2026-04-02 10:49:06,102,102,45927,450.2647058823529,1.0,30191.76,1.0,295.99764705882353
AGT0000682,EMP00336,Vikram Shah,VND0000005,T2,SUSPENDED,2025-01-16 19:41:26,2026-02-27 08:00:07,107,107,48500,453.2710280373832,2.0,161120.26,2.0,1505.7968224299066
AGT0000984,EMP01091,Aarav Sharma,VND0000002,DIGITAL,INACTIVE,2025-09-30 19:06:16,2025-03-12 14:06:00,82,82,36826,449.0975609756098,1.0,77069.1,1.0,939.8670731707318
AGT0000538,EMP01087,Neha Singh,VND0000001,FIELD,ACTIVE,2024-05-23 13:55:00,2025-07-03 04:22:08,94,94,45384,482.8085106382979,0.0,0.0,0.0,0.0
AGT0000277,EMP00190,Aarav Sharma,VND0000001,T2,ACTIVE,2024-04-07 15:16:51,2025-11-13 17:20:51,77,77,34144,443.42857142857144,1.0,47847.77,1.0,621.3996103896103
AGT0000194,EMP00314,Neha Singh,VND0000005,DIGITAL,SUSPENDED,2024-09-05 07:42:21,2025-07-21 06:56:34,100,100,44969,449.69,1.0,15315.07,1.0,153.1507
AGT0000123,EMP00735,Rohan Patel,VND0000003,T1,INACTIVE,2025-09-22 11:35:17,2025-07-14 09:18:01,130,129,59458,457.3692307692308,3.0,166026.44999999998,3.0,1277.1265384615383
AGT0000448,EMP00668,Pooja Nair,VND0000010,T3,INACTIVE,2025-08-15 06:39:47,2025-04-27 12:16:49,102,102,50022,490.4117647058824,2.0,172841.36,2.0,1694.5231372549017
AGT0000674,EMP00919,Ananya Rao,VND0000005,T2,SUSPENDED,2025-09-23 08:03:53,2026-02-20 08:17:44,92,92,36708,399.0,1.0,125462.59,1.0,1363.723804347826
AGT0001000,EMP00596,Ananya Rao,VND0000001,T2,ACTIVE,2025-04-19 05:42:52,2025-01-25 18:08:59,88,88,43161,490.46590909090907,0.0,0.0,0.0,0.0
AGT0000556,EMP00707,Amit Kumar,VND0000011,T2,SUSPENDED,2025-07-31 02:33:49,2025-03-25 11:03:56,96,96,46761,487.09375,0.0,0.0,0.0,0.0
AGT0000265,EMP00027,Pooja Nair,VND0000011,DIGITAL,INACTIVE,2024-04-28 18:36:48,2026-03-07 17:08:18,105,105,46537,443.20952380952383,2.0,141305.9,2.0,1345.770476190476
AGT0000488,EMP00779,Priya Mehta,VND0000008,DIGITAL,SUSPENDED,2024-09-07 13:13:52,2025-04-12 01:02:52,78,78,33338,427.4102564102564,1.0,8605.8,1.0,110.33076923076922
AGT0000242,EMP01074,Ananya Rao,VND0000013,DIGITAL,ACTIVE,2025-04-21 13:41:59,2025-10-09 04:19:14,70,70,32858,469.4,0.0,0.0,0.0,0.0
AGT0000058,EMP00286,Pooja Nair,VND0000006,FIELD,ACTIVE,2025-08-11 15:44:50,2026-03-27 20:10:56,85,85,40005,470.6470588235294,1.0,48157.92,1.0,566.5637647058824
AGT0000454,EMP00974,Neha Singh,VND0000003,T1,SUSPENDED,2024-07-24 09:08:34,2026-01-17 12:27:50,90,90,41907,465.6333333333333,2.0,244483.57,2.0,2716.4841111111114
AGT0000692,EMP00678,Priya Mehta,VND0000004,T3,INACTIVE,2025-05-31 23:27:56,2025-12-25 03:49:08,72,72,32480,451.1111111111111,0.0,0.0,0.0,0.0
AGT0000968,EMP00585,Ananya Rao,VND0000001,FIELD,INACTIVE,2024-05-20 05:13:15,2026-07-29 22:06:46,84,84,35642,424.3095238095238,2.0,256668.56,2.0,3055.578095238095
AGT0000996,EMP00214,Vikram Shah,VND0000014,FIELD,INACTIVE,2024-10-08 01:40:52,2026-01-10 01:44:55,86,86,40926,475.8837209302326,1.0,41317.13,1.0,480.4317441860465
AGT0000462,EMP01003,Priya Mehta,VND0000005,FIELD,ACTIVE,2025-09-14 07:56:15,2025-06-11 07:31:47,76,76,34970,460.13157894736844,0.0,0.0,0.0,0.0
AGT0000221,EMP00778,Vikram Shah,VND0000007,T2,SUSPENDED,2025-05-31 05:07:48,2025-03-31 11:01:50,81,81,36129,446.037037037037,0.0,0.0,0.0,0.0
AGT0000546,EMP00427,Pooja Nair,VND0000003,FIELD,INACTIVE,2025-02-14 18:06:05,2026-05-29 18:56:29,95,94,43907,462.17894736842106,2.0,130495.56,2.0,1373.6374736842106
AGT0000397,EMP00806,Rahul Verma,VND0000007,DIGITAL,ACTIVE,2025-05-19 02:56:54,2025-10-16 14:20:08,94,94,42332,450.3404255319149,3.0,146251.76,2.0,1555.8697872340426
AGT0000457,EMP00996,Priya Mehta,VND0000006,FIELD,SUSPENDED,2024-10-06 02:40:40,2026-07-14 19:32:20,89,89,42290,475.1685393258427,4.0,388333.14,4.0,4363.2937078651685
AGT0000878,EMP00001,Ananya Rao,VND0000011,DIGITAL,ACTIVE,2024-07-15 01:50:08,2026-06-29 23:13:25,73,73,29986,410.7671232876712,1.0,6154.91,1.0,84.31383561643835
AGT0000276,EMP00478,Amit Kumar,VND0000012,T3,ACTIVE,2024-09-22 08:11:04,2026-02-09 03:14:44,74,74,31854,430.4594594594595,2.0,139877.26,2.0,1890.2332432432434
AGT0000038,EMP00854,Amit Kumar,VND0000012,T1,INACTIVE,2024-02-03 20:39:44,2025-04-14 15:40:20,82,82,41266,503.2439024390244,1.0,133164.84,1.0,1623.9614634146342
AGT0000838,EMP00415,Sneha Das,VND0000012,T2,INACTIVE,2024-09-08 18:28:18,2026-01-31 23:44:50,80,80,33480,418.5,0.0,0.0,0.0,0.0
AGT0000139,EMP00999,Rohan Patel,VND0000002,T1,ACTIVE,2024-04-28 11:26:14,2026-01-18 02:12:52,87,87,39952,459.2183908045977,0.0,0.0,0.0,0.0
AGT0000640,EMP00217,Ananya Rao,VND0000007,T3,INACTIVE,2025-09-13 21:14:58,2026-01-16 19:46:54,100,100,50088,500.88,0.0,0.0,0.0,0.0
AGT0000723,EMP00948,Sneha Das,VND0000011,T1,SUSPENDED,2024-07-11 04:02:31,2025-09-10 03:12:47,92,92,43112,468.60869565217394,2.0,202004.66,2.0,2195.7028260869565
AGT0000633,EMP00927,Neha Singh,VND0000010,T2,INACTIVE,2025-08-25 01:05:55,2025-05-21 11:28:25,85,85,38789,456.3411764705882,2.0,28825.97,2.0,339.1290588235294
AGT0000026,EMP00196,Ananya Rao,VND0000014,T3,SUSPENDED,2024-03-24 13:30:02,2025-06-13 03:16:33,80,80,39370,492.125,1.0,112820.79,1.0,1410.259875
AGT0000584,EMP00591,Pooja Nair,VND0000003,T1,SUSPENDED,2024-12-25 14:24:00,2026-06-25 10:35:56,84,84,38379,456.89285714285717,0.0,0.0,0.0,0.0
AGT0000839,EMP00773,Amit Kumar,VND0000015,FIELD,INACTIVE,2024-12-25 13:46:21,2026-05-01 07:39:32,93,93,43926,472.3225806451613,2.0,97337.53,2.0,1046.6401075268818
AGT0000505,EMP01058,Ananya Rao,VND0000001,DIGITAL,INACTIVE,2025-02-21 17:32:03,2025-07-28 11:59:15,89,89,41804,469.70786516853934,3.0,203961.6,3.0,2291.703370786517
AGT0000502,EMP00313,Rohan Patel,VND0000007,DIGITAL,INACTIVE,2025-10-03 09:24:08,2025-09-03 17:38:32,102,102,50368,493.80392156862746,2.0,87269.22,2.0,855.5805882352942
AGT0000220,EMP00673,Rohan Patel,VND0000014,T3,INACTIVE,2024-07-05 05:44:03,2026-07-19 20:34:15,67,67,28624,427.2238805970149,0.0,0.0,0.0,0.0
AGT0000520,EMP00046,Amit Kumar,VND0000011,T2,ACTIVE,2025-10-29 00:26:05,2025-06-17 04:22:01,75,75,32635,435.1333333333333,1.0,102017.73,1.0,1360.2364
AGT0000926,EMP01005,Rohan Patel,VND0000014,FIELD,SUSPENDED,2025-09-09 11:16:30,2025-05-04 11:07:39,88,88,40858,464.29545454545456,0.0,0.0,0.0,0.0
AGT0000127,EMP00439,Neha Singh,VND0000012,DIGITAL,ACTIVE,2024-12-01 05:37:42,2025-11-28 16:28:33,89,89,39405,442.75280898876406,2.0,137741.5,2.0,1547.6573033707866
AGT0000670,EMP00522,Amit Kumar,VND0000010,T1,INACTIVE,2025-06-08 14:13:06,2026-07-16 11:19:16,84,84,33889,403.4404761904762,2.0,83862.14,2.0,998.3588095238096
AGT0000699,EMP00437,Rahul Verma,VND0000006,FIELD,SUSPENDED,2024-03-23 12:09:29,2026-02-03 00:56:36,69,69,28433,412.07246376811594,1.0,133053.04,1.0,1928.304927536232
AGT0000325,EMP01092,Aarav Sharma,VND0000015,FIELD,SUSPENDED,2024-07-25 08:47:42,2026-06-21 22:11:58,94,94,40137,426.98936170212767,3.0,186544.53999999998,3.0,1984.5163829787232
AGT0000918,EMP00980,Ananya Rao,VND0000010,T1,INACTIVE,2025-04-23 20:16:47,2026-02-11 09:34:38,88,88,38898,442.02272727272725,0.0,0.0,0.0,0.0
AGT0000544,EMP00440,Rohan Patel,VND0000004,T1,ACTIVE,2025-03-20 19:56:32,2025-07-11 15:05:41,90,90,40742,452.68888888888887,0.0,0.0,0.0,0.0
AGT0000694,EMP00962,Neha Singh,VND0000009,DIGITAL,ACTIVE,2024-08-27 23:38:53,2026-03-27 22:42:18,104,103,48999,471.1442307692308,2.0,162722.19,2.0,1564.6364423076923
AGT0000847,EMP00377,Rahul Verma,VND0000005,T3,SUSPENDED,2025-06-30 05:31:15,2025-08-17 11:00:24,101,100,50263,497.65346534653463,1.0,5634.66,1.0,55.788712871287125
AGT0000295,EMP00576,Neha Singh,VND0000006,T2,INACTIVE,2024-07-29 10:13:04,2026-07-02 09:59:30,92,91,44983,488.94565217391306,3.0,273703.85,3.0,2975.0418478260867
AGT0000918,EMP01077,Rahul Verma,VND0000010,T1,INACTIVE,2024-12-06 12:18:45,2025-08-23 23:14:56,88,88,38898,442.02272727272725,0.0,0.0,0.0,0.0
AGT0000661,EMP00807,Aarav Sharma,VND0000015,FIELD,SUSPENDED,2025-05-28 05:09:17,2025-10-31 12:51:39,91,90,44096,484.57142857142856,2.0,186091.71000000002,2.0,2044.9638461538464
AGT0000709,EMP00865,Neha Singh,VND0000007,T2,INACTIVE,2024-02-13 04:41:08,2025-10-12 20:53:57,87,87,43171,496.2183908045977,1.0,24736.82,1.0,284.33126436781606
AGT0000395,EMP00313,Sneha Das,VND0000007,T1,SUSPENDED,2025-05-30 12:21:21,2025-10-20 22:12:34,79,79,39912,505.2151898734177,2.0,163711.78,2.0,2072.301012658228
AGT0000646,EMP00382,Amit Kumar,VND0000009,T2,INACTIVE,2024-11-12 12:03:13,2025-09-14 04:58:22,73,73,32880,450.4109589041096,4.0,264752.66000000003,4.0,3626.748767123288
AGT0000084,EMP00141,Priya Mehta,VND0000010,FIELD,SUSPENDED,2024-05-30 02:36:03,2025-10-19 17:07:17,105,105,45501,433.34285714285716,0.0,0.0,0.0,0.0
AGT0000389,EMP00271,Amit Kumar,VND0000007,FIELD,ACTIVE,2024-10-14 01:40:50,2025-04-26 21:27:34,90,90,40783,453.14444444444445,1.0,11216.06,1.0,124.62288888888888
AGT0000645,EMP00791,Aarav Sharma,VND0000012,T1,INACTIVE,2024-11-23 21:37:16,2025-11-30 13:23:39,90,90,42850,476.1111111111111,2.0,147120.69999999998,2.0,1634.6744444444444
AGT0000810,EMP00995,Aarav Sharma,VND0000004,T2,ACTIVE,2024-08-21 22:27:21,2025-10-21 10:44:58,88,88,38065,432.5568181818182,2.0,170177.28,2.0,1933.8327272727272
AGT0000286,EMP00857,Neha Singh,VND0000009,T1,SUSPENDED,2024-05-11 13:57:55,2025-08-14 07:16:28,77,76,32762,425.4805194805195,0.0,0.0,0.0,0.0
AGT0000912,EMP00917,Vikram Shah,VND0000011,FIELD,SUSPENDED,2025-08-19 05:01:54,2026-05-19 14:38:33,87,87,39027,448.58620689655174,2.0,89900.95,2.0,1033.3442528735632
AGT0000846,EMP00196,Pooja Nair,VND0000011,T2,SUSPENDED,2024-01-30 18:03:00,2025-08-08 07:52:26,93,93,43364,466.2795698924731,0.0,0.0,0.0,0.0
AGT0000294,EMP00020,Pooja Nair,VND0000010,DIGITAL,INACTIVE,2025-03-29 23:15:21,2025-12-31 16:03:43,90,89,39818,442.4222222222222,0.0,0.0,0.0,0.0
AGT0000401,EMP00706,Rohan Patel,VND0000014,T2,ACTIVE,2025-08-02 05:12:28,2026-06-24 04:17:48,92,92,37849,411.4021739130435,0.0,0.0,0.0,0.0
AGT0000936,EMP00049,Rahul Verma,VND0000001,T3,INACTIVE,2024-11-12 07:13:56,2025-03-20 06:45:46,90,90,45499,505.5444444444444,0.0,0.0,0.0,0.0
AGT0000932,EMP00065,Rohan Patel,VND0000001,T2,SUSPENDED,2024-10-31 07:08:14,2025-11-05 04:10:25,103,103,49757,483.07766990291265,1.0,69167.45,1.0,671.528640776699
AGT0000276,EMP00674,Sneha Das,VND0000013,T1,INACTIVE,2025-11-10 08:07:40,2025-06-13 16:21:58,74,74,31854,430.4594594594595,2.0,139877.26,2.0,1890.2332432432434
AGT0000250,EMP00351,Pooja Nair,VND0000005,T3,INACTIVE,2024-07-14 14:20:59,2026-05-16 03:35:18,91,90,40742,447.7142857142857,0.0,0.0,0.0,0.0
AGT0000169,EMP00528,Rohan Patel,VND0000012,T3,ACTIVE,2025-05-19 20:58:05,2026-04-24 06:00:52,85,85,37548,441.74117647058824,4.0,480285.71,4.0,5650.420117647059
AGT0000620,EMP00340,Priya Mehta,VND0000012,T1,ACTIVE,2024-02-14 08:53:16,2025-06-26 22:10:52,72,72,35783,496.9861111111111,1.0,91851.8,1.0,1275.7194444444444
AGT0000762,EMP00926,Vikram Shah,VND0000009,DIGITAL,ACTIVE,2024-10-31 08:05:35,2025-10-02 09:16:35,81,81,34929,431.22222222222223,1.0,132745.46,1.0,1638.8328395061728
AGT0000330,EMP00678,Rahul Verma,VND0000013,FIELD,SUSPENDED,2025-09-22 07:59:11,2025-03-03 04:48:00,69,69,33007,478.3623188405797,2.0,187185.9,2.0,2712.8391304347824
AGT0000244,EMP00926,Vikram Shah,VND0000013,T1,INACTIVE,2025-06-23 05:32:13,2025-02-06 04:16:26,78,78,36798,471.7692307692308,1.0,10508.24,1.0,134.72102564102565
AGT0000193,EMP00600,Ananya Rao,VND0000008,T2,ACTIVE,2024-01-15 11:43:58,2026-04-24 03:32:46,69,69,33538,486.05797101449275,2.0,209270.94,2.0,3032.9121739130437
AGT0000970,EMP00418,Rahul Verma,VND0000010,FIELD,INACTIVE,2025-08-24 05:17:24,2026-02-25 08:04:34,85,85,39878,469.15294117647056,1.0,85426.82,1.0,1005.0214117647059
AGT0000243,EMP00900,Neha Singh,VND0000004,T1,ACTIVE,2025-11-15 20:04:37,2025-08-10 20:42:39,91,91,43863,482.010989010989,0.0,0.0,0.0,0.0
AGT0000186,EMP00480,Rohan Patel,VND0000014,T3,INACTIVE,2024-06-13 02:28:21,2025-11-12 01:56:23,89,89,38716,435.0112359550562,1.0,100175.08,1.0,1125.5626966292134
AGT0000989,EMP00539,Priya Mehta,VND0000011,DIGITAL,SUSPENDED,2025-01-16 21:08:47,2025-11-22 17:15:35,103,103,42695,414.5145631067961,2.0,115822.03,2.0,1124.4857281553398
AGT0000911,EMP00871,Ananya Rao,VND0000010,DIGITAL,ACTIVE,2024-06-10 03:26:57,2025-05-04 09:17:22,85,85,32016,376.6588235294118,3.0,277673.22,3.0,3266.743764705882
AGT0000832,EMP00666,Pooja Nair,VND0000007,T3,ACTIVE,2025-09-23 06:59:49,2025-01-23 07:37:09,73,73,32692,447.83561643835617,0.0,0.0,0.0,0.0
AGT0000515,EMP00199,Vikram Shah,VND0000002,T1,SUSPENDED,2024-11-10 15:10:36,2025-04-11 02:43:49,85,85,40814,480.16470588235296,0.0,0.0,0.0,0.0
AGT0000377,EMP00573,Aarav Sharma,VND0000002,T3,ACTIVE,2025-06-28 14:35:49,2026-02-15 07:12:38,98,98,45319,462.4387755102041,2.0,156155.82,2.0,1593.4267346938777
AGT0000927,EMP00180,Aarav Sharma,VND0000012,T2,INACTIVE,2024-07-17 17:54:30,2025-12-13 06:54:54,70,70,33061,472.3,1.0,146114.42,1.0,2087.3488571428575
AGT0000303,EMP00503,Vikram Shah,VND0000006,DIGITAL,INACTIVE,2024-03-19 19:32:21,2026-01-04 13:08:51,90,90,44571,495.23333333333335,3.0,91989.73999999999,3.0,1022.1082222222221
AGT0000933,EMP00610,Ananya Rao,VND0000007,T1,ACTIVE,2025-03-21 14:46:57,2025-04-11 10:29:41,94,94,42918,456.5744680851064,0.0,0.0,0.0,0.0
AGT0000644,EMP00560,Rohan Patel,VND0000012,T2,ACTIVE,2025-10-11 10:14:04,2025-12-01 10:19:37,82,82,35738,435.8292682926829,2.0,125944.97,2.0,1535.914268292683
AGT0000422,EMP00321,Vikram Shah,VND0000010,T2,SUSPENDED,2025-09-22 09:57:43,2025-07-26 05:18:11,94,94,44036,468.468085106383,3.0,197852.17,3.0,2104.8103191489363
AGT0000646,EMP00055,Amit Kumar,VND0000006,T3,INACTIVE,2025-02-12 03:14:12,2025-06-29 21:46:14,73,73,32880,450.4109589041096,4.0,264752.66000000003,4.0,3626.748767123288
AGT0000160,EMP00607,Rohan Patel,VND0000014,T2,SUSPENDED,2024-11-19 16:27:13,2025-01-29 04:26:57,100,99,46141,461.41,2.0,197813.40000000002,2.0,1978.1340000000002
AGT0000736,EMP00995,Pooja Nair,VND0000005,T3,INACTIVE,2025-10-28 18:50:28,2026-05-24 01:54:41,79,79,32280,408.60759493670884,1.0,96071.65,1.0,1216.096835443038
AGT0000250,EMP00818,Vikram Shah,VND0000004,DIGITAL,ACTIVE,2024-04-25 19:13:27,2025-01-13 16:37:49,91,90,40742,447.7142857142857,0.0,0.0,0.0,0.0
AGT0000787,EMP00302,Amit Kumar,VND0000014,T3,INACTIVE,2025-10-16 10:43:46,2026-06-22 03:28:48,78,78,37112,475.79487179487177,2.0,140344.82,2.0,1799.2925641025643
AGT0000737,EMP01033,Priya Mehta,VND0000003,T3,ACTIVE,2024-05-13 10:48:26,2026-03-16 14:21:06,91,91,38958,428.1098901098901,2.0,175063.21,2.0,1923.7715384615383
AGT0000004,EMP00187,Amit Kumar,VND0000004,T2,ACTIVE,2024-06-15 05:36:43,2025-10-21 03:22:08,87,87,37795,434.42528735632186,4.0,397416.72000000003,4.0,4568.008275862069
AGT0000800,EMP00676,Pooja Nair,VND0000007,T1,SUSPENDED,2024-05-11 07:09:10,2025-11-15 23:22:35,92,92,42184,458.5217391304348,1.0,44970.2,1.0,488.8065217391304
AGT0000865,EMP00431,Rohan Patel,VND0000008,T1,SUSPENDED,2024-11-20 09:24:01,2026-05-14 15:22:10,100,100,49157,491.57,0.0,0.0,0.0,0.0
AGT0000451,EMP00150,Ananya Rao,VND0000001,DIGITAL,SUSPENDED,2025-04-01 12:45:12,2026-01-23 05:23:06,81,80,35601,439.51851851851853,0.0,0.0,0.0,0.0
AGT0000077,EMP00072,Aarav Sharma,VND0000011,FIELD,INACTIVE,2025-04-24 09:33:59,2026-06-11 08:31:03,86,86,40414,469.93023255813955,2.0,69677.66,2.0,810.2053488372094
AGT0000950,EMP00030,Ananya Rao,VND0000009,T2,ACTIVE,2024-07-11 19:41:29,2025-08-23 04:14:05,80,80,37856,473.2,0.0,0.0,0.0,0.0
AGT0000492,EMP00414,Aarav Sharma,VND0000014,DIGITAL,SUSPENDED,2024-07-12 20:27:27,2025-04-29 00:52:33,88,88,39488,448.72727272727275,0.0,0.0,0.0,0.0
AGT0000214,EMP00116,Rohan Patel,VND0000002,FIELD,ACTIVE,2024-12-02 16:05:15,2025-08-08 17:07:42,108,108,49378,457.2037037037037,1.0,101107.7,1.0,936.1824074074074
AGT0000071,EMP00209,Rohan Patel,VND0000012,FIELD,INACTIVE,2025-10-14 18:00:17,2025-07-05 12:00:29,93,93,41315,444.247311827957,0.0,0.0,0.0,0.0
AGT0000590,EMP00533,Sneha Das,VND0000007,T3,ACTIVE,2025-09-03 10:12:14,2026-05-03 18:30:16,96,96,43428,452.375,2.0,212248.86,2.0,2210.925625
AGT0000237,EMP00571,Neha Singh,VND0000002,T2,ACTIVE,2024-10-27 21:01:28,2026-06-22 07:50:11,82,82,39540,482.1951219512195,4.0,304185.31,4.0,3709.576951219512
AGT0000537,EMP00380,Rohan Patel,VND0000001,DIGITAL,ACTIVE,2025-05-14 06:36:25,2025-08-25 13:19:33,79,79,37470,474.30379746835445,2.0,62836.84,2.0,795.4030379746835
AGT0000852,EMP00113,Priya Mehta,VND0000009,DIGITAL,SUSPENDED,2025-07-13 17:50:27,2025-08-05 01:01:10,66,66,29237,442.9848484848485,2.0,135499.16,2.0,2053.0175757575757
AGT0000695,EMP00731,Neha Singh,VND0000004,T1,SUSPENDED,2024-11-18 18:54:07,2026-04-20 19:48:07,94,94,42476,451.8723404255319,0.0,0.0,0.0,0.0
AGT0000377,EMP00759,Pooja Nair,VND0000010,T2,INACTIVE,2025-01-25 10:59:48,2025-07-19 18:22:21,98,98,45319,462.4387755102041,2.0,156155.82,2.0,1593.4267346938777
AGT0000239,EMP00621,Vikram Shah,VND0000008,DIGITAL,INACTIVE,2025-01-06 18:12:08,2026-03-25 09:54:57,108,108,49518,458.5,2.0,220218.3,2.0,2039.0583333333332
AGT0000095,EMP01031,Rahul Verma,VND0000004,T3,INACTIVE,2025-02-13 21:01:12,2026-05-19 22:51:50,82,81,38760,472.6829268292683,0.0,0.0,0.0,0.0
AGT0000410,EMP00137,Amit Kumar,VND0000005,T1,SUSPENDED,2024-01-30 01:24:36,2025-05-17 18:16:33,88,88,41765,474.60227272727275,0.0,0.0,0.0,0.0
AGT0000656,EMP00721,Ananya Rao,VND0000001,DIGITAL,SUSPENDED,2025-11-26 21:55:24,2025-04-23 15:45:11,87,87,42525,488.7931034482759,2.0,113243.41,2.0,1301.6483908045977
AGT0000512,EMP00821,Aarav Sharma,VND0000004,T2,SUSPENDED,2024-04-01 02:25:06,2025-05-30 07:37:01,89,89,37962,426.53932584269666,0.0,0.0,0.0,0.0
AGT0000673,EMP00490,Rahul Verma,VND0000007,T2,ACTIVE,2025-02-05 00:13:51,2025-04-08 19:11:14,105,105,47748,454.74285714285713,1.0,141231.03,1.0,1345.0574285714285
AGT0000572,EMP00273,Sneha Das,VND0000014,FIELD,SUSPENDED,2025-02-01 04:44:54,2026-06-20 10:55:55,97,97,42334,436.4329896907216,2.0,250117.66,2.0,2578.5325773195877
AGT0000361,EMP00786,Amit Kumar,VND0000006,T2,SUSPENDED,2025-10-17 21:44:28,2025-02-17 08:24:33,100,100,44536,445.36,0.0,0.0,0.0,0.0
AGT0000219,EMP00868,Amit Kumar,VND0000003,DIGITAL,INACTIVE,2025-10-05 14:09:44,2026-05-03 16:04:15,67,67,31069,463.7164179104478,0.0,0.0,0.0,0.0
AGT0000592,EMP00732,Sneha Das,VND0000009,T3,SUSPENDED,2025-09-15 22:43:56,2025-02-09 06:55:23,89,89,41904,470.8314606741573,4.0,313695.77,4.0,3524.6715730337082
